tran_id,u_id,article_id,position,time_before_click,time_on_page,sequence
npoqtnxvnscpjww,dtrxiectso,10,0,21954,26310,1
detiqpmgoxiwkkf,dtrxiectso,41,4,13471,27601,2
xpjptoyzfgkzyuc,dtrxiectso,20,5,7085,51969,3
ozrqjshmwkklwej,euolxnylrb,30,0,16479,5764,1
ejsctvipmlutfbg,euolxnylrb,50,2,4644,21245,2
ljozsiffkqxhtrz,euolxnylrb,00,3,2538,11273,3
fvxggkywqvlsnmg,ueurccysmb,50,0,2031,1672,1
xodqugrselcbzqs,ueurccysmb,11,1,1060,1294,2
uzeylmvdkndqjcf,ueurccysmb,30,2,1421,1187,3
dmdbqcidcnjwhfk,tymzdiwyse,01,1,911,2009,1
dxftkyrggtjqvwh,tymzdiwyse,20,0,1046,1106,2
ztqaicshsycgesr,tymzdiwyse,31,3,1425,2903,3
aosvjedwqbadofa,bbpoqlzsaw,20,0,3506,35254,1
ucezliupvkgtcdc,bbpoqlzsaw,11,1,5680,14971,2
jjtangitbkxdrbr,bbpoqlzsaw,50,5,2395,616681,3
cvvjetqoxgcjztd,mwhtkfzhsc,41,2,35717,21535,1
ymwhtszhesuqeuj,mwhtkfzhsc,11,1,7391,3158,2
xyydugxvmkxcjgf,mwhtkfzhsc,00,3,4351,4655,3
tfsqkhftjqvyfbb,rivbzweutm,30,5,57308,4677,1
vmkacbemqewoltl,rivbzweutm,51,3,3924,2126,2
wknqotscsgtaplf,rivbzweutm,41,0,5061,1869,3
cnkhmkwcxidugsz,irntchdwnd,51,0,41026,258935,1
xoejrkbkpfsgegy,irntchdwnd,11,2,6106,72779,2
wyiklebikzbpzrk,irntchdwnd,40,1,7312,90921,3
xriuvauvwkpzgur,ydscsrcrdb,30,4,23041,11062,1
kwvordeaohjscgf,ydscsrcrdb,20,0,10175,6141,2
zssstwqcsholhcx,ydscsrcrdb,11,5,7928,1570,3
kdkpavjrdclevsu,duufpiwmvo,31,5,19106,10738,1
wndyvduysvsgszr,duufpiwmvo,50,1,3315,5649,2
jzghomybumudsre,duufpiwmvo,21,3,4619,1915,3
uxmxdbdgjsbknmg,makhzyiaku,01,1,7282,26939,1
yrmhgcmvqxekgqp,makhzyiaku,30,4,9840,37625,2
plnzkyuypnbrjpd,makhzyiaku,50,0,11167,29149,3
hsosiodvwzkhpqw,afgzaagzmx,50,5,43388,86184,1
fctsgjogsvcvhqe,afgzaagzmx,50,5,12633,4264,2
maljzpawqpbaspf,afgzaagzmx,21,3,3584,77822,3
cffxagymfofvolj,gtdxwvuwss,40,0,14179,227153,1
vddourkjnztvici,gtdxwvuwss,00,1,7233,279488,2
qhoekzzrjhxlavc,gtdxwvuwss,10,2,3247,70799,3
fopkxxailkdvotg,wcycjnjwqd,10,1,12753,40976,1
etehcelkqtieclb,wcycjnjwqd,30,2,4121,11350,2
frighffopntzvqc,wcycjnjwqd,40,0,2671,4268,3
jcjkayzgmespsok,wazzkyivit,20,3,17685,22628,1
pwhnwedtjmigksn,wazzkyivit,10,5,7401,32301,2
jetdairiraxeqeb,wazzkyivit,31,1,1028,1563,3
ytkgjrgtqcthkpy,ktdensgpmu,10,0,9207,58444,1
dpjloubxdhvrkat,ktdensgpmu,31,1,21964,16845,2
gmimodlennoboav,ktdensgpmu,00,4,8895,7406,3
nofhtzooxevkpwn,mkzwciwjnw,30,2,6309,12334,1
ylaiqoibcouioez,mkzwciwjnw,50,4,11156,7296,2
bnjdtmtiexonzvu,mkzwciwjnw,10,3,4894,70111,3
tpvfskmppnqogkp,slmwyruwyc,20,1,9711,2873,1
rckgmtvhephcgoh,slmwyruwyc,41,4,2603,1827,2
gxlopxrcfepfjfd,slmwyruwyc,01,0,3859,1830,3
ppjbiuvuuskfufp,mlldgdnuld,20,0,1524,49136,1
gqscyxuvdlvmauy,mlldgdnuld,31,1,14785,81490,2
hhuamfygxslassw,mlldgdnuld,10,2,6397,85493,3
uquketvxmsexvyt,jhdvhmzcox,20,2,35261,14011,1
ukrjwyxsbmnrzqw,jhdvhmzcox,20,2,11325,27663,2
vdqiranayngawnf,jhdvhmzcox,30,5,10489,76712,3
gapplgryizhngbj,mvbugsttuk,10,0,12821,5597,1
evtijxcdkdjffwm,entzuybqcy,30,0,16870,65264,1
eeylqzujuvkdfpl,mvbugsttuk,20,1,3565,3818,2
fmpnfaguksgzpus,mvbugsttuk,41,5,5190,4512,3
iiogtmwmnxwlrca,entzuybqcy,41,4,7837,54963,2
vcxpbhfuluszidd,entzuybqcy,00,5,4182,33747,3
